GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.spi,ReactiveAuthorization,0,128,0,12,0,30,0,11,0,5
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.spi,RdfService,0,12,0,0,0,2,0,2,0,2
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,9,37,3,3,2,12,3,4,0,4
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,35,108,6,16,6,34,6,11,0,6
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,179,1,19,2,29,1,17,0,8
Inrupt Client Libraries - Core/inrupt-client-api,com.inrupt.client.util,IOUtils,55,43,0,0,14,12,3,5,3,5
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WacAllowBaseListener,1,8,0,0,1,6,1,6,1,6
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,ConsumerErrorListener,0,26,0,0,0,5,0,2,0,2
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.WwwAuthenticateContext,21,21,2,2,5,6,7,3,5,3
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser,34,447,6,21,11,101,10,17,4,9
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser,22,272,0,16,8,57,4,16,4,8
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateBaseListener,1,10,0,0,1,8,1,8,1,8
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,LinkLexer,16,233,0,8,8,27,8,9,8,5
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,LinkParser,22,354,0,18,8,79,4,18,4,9
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkHeaderContext,12,21,2,2,3,6,5,3,3,3
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateLexer,16,233,0,8,8,27,8,9,8,5
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser.WacAllowContext,16,25,2,2,4,7,6,4,4,4
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,LinkBaseListener,1,10,0,0,1,8,1,8,1,8
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.ChallengeContext,25,30,2,2,6,8,8,5,6,5
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkContext,16,30,2,2,4,8,6,5,4,5
Inrupt Client Libraries - Core/inrupt-client-parser,com.inrupt.client.parser,WacAllowLexer,16,201,0,8,8,27,8,9,8,5
