GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaService,141,0,2,0,35,0,7,0,6,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaQuad,44,0,6,0,10,0,6,0,3,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaBodyHandlers,130,0,0,0,28,0,10,0,10,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaBodyPublishers,46,0,0,0,7,0,10,0,10,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaGraph,133,0,22,0,36,0,18,0,7,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaTriple,73,0,12,0,19,0,10,0,4,0
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaDataset,86,0,10,0,22,0,10,0,5,0
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,VCAdapter,397,0,54,0,79,0,33,0,6,0
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,JsonbService,77,0,0,0,18,0,4,0,4,0
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,VPAdapter,334,0,42,0,64,0,27,0,6,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,EndSessionRequest,27,0,0,0,10,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdSession,238,0,12,0,53,0,18,0,12,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,Metadata,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenRequest.Builder,75,0,8,0,17,0,10,0,6,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdProvider,434,0,22,0,87,0,35,0,24,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdAuthenticationProvider,35,0,4,0,12,0,7,0,5,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,AuthorizationRequest,57,0,0,0,19,0,10,0,10,0
