GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client,Session,0,8,0,0,0,2,0,1,0,1
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client,Session.Credential,0,34,0,0,0,12,0,6,0,6
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client,Request,0,55,0,0,0,14,0,8,0,8
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.rdf,RDFFactory,0,28,0,0,0,6,0,6,0,6
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.rdf,RDFNode,0,193,2,22,0,33,2,27,0,17
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.rdf,Dataset,0,18,0,0,0,3,0,2,0,2
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.rdf,Syntax,0,54,0,0,0,6,0,1,0,1
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.rdf,Graph,0,15,0,0,0,3,0,2,0,2
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.spi,ReactiveAuthorization,0,134,0,12,0,30,0,11,0,5
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.spi,RdfService,0,12,0,0,0,2,0,2,0,2
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,9,37,3,3,2,12,3,4,0,4
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,35,108,6,16,6,34,6,11,0,6
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,179,1,19,2,29,1,17,0,8
Inrupt Client Libraries - Solid/inrupt-client-api,com.inrupt.client.util,IOUtils,55,43,0,0,14,12,3,5,3,5
Inrupt Client Libraries - Solid/inrupt-client-vocabulary,com.inrupt.client.vocabulary,RDFS,10,0,0,0,3,0,2,0,2,0
Inrupt Client Libraries - Solid/inrupt-client-vocabulary,com.inrupt.client.vocabulary,PIM,3,7,0,0,1,2,1,1,1,1
